ID,Area,City,Restaurant,Demand,Price,Avg ratings,Total ratings,Food type,Address,Delivery time,Delivery Status
254021,Paschim Vihar,Delhi,Mcdonald'S,High,400,4.3,1000,American,Delhi Paschim Vihar,53,Delayed
254048,Banashankari,Bangalore,Momoz,High,350,3.8,500,"Chinese,Thai,Seafood,Asian,Combo,Malaysian",Blr_Banashankari,53,Delayed
254049,Banashankari,Bangalore,Chinese Bae,High,400,3.7,500,"Chinese,Thai,Seafood,Asian,Combo,Healthy Food,Beverages",Blr_Banashankari,51,Delayed
254050,Banashankari,Bangalore,Chopstick,Low,350,3.8,100,"Chinese,Thai,Seafood,Asian,Combo,Healthy Food,Beverages",Blr_Banashankari,51,Delayed
254299,Anand Nagar,Pune,China House,Low,200,2.9,80,Chinese,Sinhgad Road,70,Delayed
254452,Vasanth Nagar,Bangalore,Asian Hawker,Low,350,2.9,80,"Chinese,Pan-Asian,Desserts,Beverages",Central Bangalore,50,Delayed
254543,Kasba,Kolkata,Ya Burger,High,300,4.5,500,"American,Continental,Italian,Snacks,Pastas,Combo",Kasba,77,Delayed
254861,Baner,Pune,Biryani By Kilo,Low,700,4.2,100,"Biryani,Mughlai,Kebabs,North Indian,Hyderabadi,Lucknowi,Andhra,South Indian,Bengali",Baner,83,Delayed
254870,Koramangala,Bangalore,Paratha Experiment,Low,200,4.3,50,"North Indian,Punjabi,Home Food,Indian,Snacks,Combo,Desserts,Beverages,South Indian,Continental,Chettinad,Healthy Food,Chinese,Sweets",Nanjappa Reddy Layout Koramangala,52,Delayed
254886,Pitam Pura,Delhi,Paratha Experiment,Low,200,3.9,20,"North Indian,Punjabi,Home Food,Indian,Snacks,Combo,Desserts,Beverages,South Indian,Continental,Chettinad,Healthy Food,Chinese,Sweets",Rohini,39,In Time
254897,Sakivihar,Mumbai,Paratha Experiment,Low,200,4.2,20,"North Indian,Punjabi,Home Food,Indian,Snacks,Combo,Desserts,Beverages,South Indian,Continental,Chettinad,Healthy Food,Chinese,Sweets",Sakivihar,53,Delayed
255077,Khairtabad,Hyderabad,Ek Pyali Chai,Low,150,4.2,50,Beverages  Chaat  Desserts  Fast Food  Juices,Lakdikapul,36,In Time
255080,Aundh,Pune,Wahh China,Low,250,2.9,80,Indian,Aundh,69,Delayed
255204,Adajan,Surat,The Dango Cake Shop,Low,270,2.9,80,Bakery,Adajan,65,Delayed
255332,Taltala,Kolkata,Ichamotee,Low,200,4,100,"Bengali,Bangladeshi,Combo,Thalis",Esplanade,43,In Time
255355,Wilson Garden,Bangalore,Namma Kudla Restaurant,Low,300,4.1,20,Indian,Shantinagar,53,Delayed
255752,Perambur,Chennai,Dfc Pizza,Low,200,2.9,80,Italian,Perambur,73,Delayed
255891,Salt Lake,Kolkata,Food Point,Low,250,2.9,80,"Chinese,Tibetan",Salt Lake,61,Delayed
255976,Chembur,Mumbai,Poetry By Love & Cheesecake,Low,800,4.7,100,Bakery  Continental  Salads  Pastas  European  Desserts,Chembur,54,Delayed
256059,Vikhroli West,Mumbai,The South Pavilion,Low,600,4.4,50,Beverages  Fast Food  North Indian  South Indian,Ghatkopar Vikhroli,56,Delayed
256099,Kondhwa Budruk,Pune,Lavish Biryani,Low,300,2.9,80,Biryani,Dhankawadi,78,Delayed
256154,Lake Town,Kolkata,Pyarelal,High,250,4,1000,"Fast Food,Indian,Tandoor",Jessore Road,81,Delayed
256298,Barabazar Market,Kolkata,Kaligodam,Low,200,4,100,North Indian  Sweets,Burrabazar,43,In Time
256371,Dumdum,Kolkata,China Box,Low,300,2.9,80,Chinese,Kc Ghosh Road,82,Delayed
256608,Indiranagar,Bangalore,1131 Bar+Kitchen,Low,1200,3.9,20,Indian,Indiranagar,60,Delayed
256688,Budh Vihar,Delhi,Mummy Ki Rasoi,Low,300,3.2,20,Indian,Budh Vihar,48,Delayed
256784,New Magdalla,Surat,Punjabi Swad,Low,400,2.9,80,Indian,Piplod,66,Delayed
256853,Adajan,Surat,Twisted Cake,Low,270,4.6,20,"Desserts,Sweets",Adajan,59,Delayed
256880,Koregaon Park,Pune,Hungrezy,Low,400,4.3,50,"Asian,Continental,Fast Food,Snacks,Combo,Desserts,Chinese,Indian,North Indian",Kalyani Nagar,58,Delayed
257095,Chetpet,Chennai,Abbys,Low,250,4.1,50,"South Indian,North Indian,Snacks,Combo,Beverages",Chetpet,47,Delayed
